dma1_name,sales1_name,chan1_name,chan2_name,chan3_name,all_name,max,cpp,hl,hrf,wks,beta,curvegroup_name,factor_1
HOUSTON-TX,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,6430219.159,0.027037825,0.6,0.75,1,74595.66965,weekly,104.5411879
HOUSTON-TX,Existing Loyal KC,Network TV,Network TV,Network TV,overall,6430219.159,0.027037825,0.6,0.6,1,234480.4877,weekly,129.2755223
TRI-STATE-NY/NJ/CT,New Loyal NKC,Display,Display,Display,overall,99540395,0.002870164,9,0.75,1,1852.788011,weekly,134.1995803
TRI-STATE-NY/NJ/CT,New Loyal KC,Display,Display,Display,overall,99540395,0.002870164,1,0.75,1,2277.909017,weekly,201.8593061
TRI-STATE-NY/NJ/CT,New Non-Loyal NKC,Display,Display,Display,overall,99540395,0.002870164,1,0.45,1,24974.09347,weekly,146.6010494
TRI-STATE-NY/NJ/CT,Existing Non-Loyal NKC,Display,Display,Display,overall,99540395,0.002870164,0.3,0.05,1,309531.0854,weekly,116.8952486
TRI-STATE-NY/NJ/CT,Existing Loyal NKC,Display,Display,Display,overall,99540395,0.002870164,0,0.75,1,64568.54299,weekly,114.2438119
TRI-STATE-NY/NJ/CT,Existing Loyal KC,Display,Display,Display,overall,99540395,0.002870164,0,0.05,1,3218506.326,weekly,135.2337552
TRI-STATE-NY/NJ/CT,Existing Non-Loyal KC,Display,Display,Display,overall,99540395,0.002870164,1,0.15,1,1838055.599,weekly,134.9741672
TRI-STATE-NY/NJ/CT,New Loyal KC,Tab,Sunday,Sunday,overall,3258393.633,0.036772139,0.3,0.05,1,1188.401293,weekly,201.8593061
TRI-STATE-NY/NJ/CT,New Non-Loyal KC,Tab,Sunday,Sunday,overall,3258393.633,0.036772139,0,0.75,1,647.2513116,weekly,194.2153829
TRI-STATE-NY/NJ/CT,New Loyal NKC,Tab,Sunday,Sunday,overall,3258393.633,0.036772139,1,0.05,1,3299.917992,weekly,134.1995803
TRI-STATE-NY/NJ/CT,Existing Non-Loyal NKC,Tab,Sunday,Sunday,overall,3258393.633,0.036772139,0.3,0.05,1,40821.02473,weekly,116.8952486
TRI-STATE-NY/NJ/CT,New Non-Loyal NKC,Tab,Sunday,Sunday,overall,3258393.633,0.036772139,0,0.3,1,13784.57217,weekly,146.6010494
TRI-STATE-NY/NJ/CT,Existing Non-Loyal KC,Tab,Sunday,Sunday,overall,3258393.633,0.036772139,0,0.05,1,505459.0317,weekly,134.9741672
TRI-STATE-NY/NJ/CT,Existing Loyal KC,Tab,Sunday,Sunday,overall,3258393.633,0.036772139,0.3,0.75,1,156564.2534,weekly,135.2337552
DETROIT-MI,New Loyal KC,Network TV,Network TV,Network TV,overall,4949886.992,0.027037825,5,0.75,1,744.5815552,weekly,191.9856132
DETROIT-MI,New Loyal NKC,Network TV,Network TV,Network TV,overall,4949886.992,0.027037825,5,0.15,1,1826.320599,weekly,108.1982329
