dma1_name,sales1_name,chan3_name,chan2_name,chan1_name,all_name,decomp,spend,max,cps,hl,hrf,wks
WASHINGTON D.C.,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,21289.88123,62516.55179,6673830.692,0.027037825,0.6,0.05,1
WASHINGTON D.C.,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,61261.42888,62516.55179,6673830.692,0.027037825,1,0.75,1
WASHINGTON D.C.,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,89865.57265,62516.55179,6673830.692,0.027037825,0.6,0.75,1
WASHINGTON D.C.,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,170933.4674,62516.55179,6673830.692,0.027037825,1,0.75,1
WASHINGTON D.C.,Existing Loyal KC,Network TV,Network TV,Network TV,overall,203529.5414,62516.55179,6673830.692,0.027037825,0.6,0.6,1
BOSTON-MA,New Loyal KC,Network TV,Network TV,Network TV,overall,820.534182,60877.44252,6498850.827,0.027037825,5,0.75,1
BOSTON-MA,New Loyal NKC,Network TV,Network TV,Network TV,overall,1237.575119,60877.44252,6498850.827,0.027037825,5,0.15,1
BOSTON-MA,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,9444.953875,60877.44252,6498850.827,0.027037825,5,0.15,1
BOSTON-MA,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,18236.17963,60877.44252,6498850.827,0.027037825,0.6,0.05,1
BOSTON-MA,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,51510.81523,60877.44252,6498850.827,0.027037825,1,0.75,1
BOSTON-MA,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,118272.289,60877.44252,6498850.827,0.027037825,0.6,0.75,1
BOSTON-MA,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,193972.5133,60877.44252,6498850.827,0.027037825,1,0.75,1
BOSTON-MA,Existing Loyal KC,Network TV,Network TV,Network TV,overall,250351.9808,60877.44252,6498850.827,0.027037825,0.6,0.6,1
ATLANTA-GA,New Loyal KC,Network TV,Network TV,Network TV,overall,984.403773,60835.00031,6494319.992,0.027037825,5,0.75,1
ATLANTA-GA,New Loyal NKC,Network TV,Network TV,Network TV,overall,1168.213095,60835.00031,6494319.992,0.027037825,5,0.15,1
ATLANTA-GA,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,7546.736542,60835.00031,6494319.992,0.027037825,5,0.15,1
ATLANTA-GA,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,21372.23421,60835.00031,6494319.992,0.027037825,0.6,0.05,1
ATLANTA-GA,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,54426.18587,60835.00031,6494319.992,0.027037825,0.6,0.75,1
ATLANTA-GA,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,64706.53924,60835.00031,6494319.992,0.027037825,1,0.75,1
ATLANTA-GA,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,146119.2555,60835.00031,6494319.992,0.027037825,1,0.75,1
ATLANTA-GA,Existing Loyal KC,Network TV,Network TV,Network TV,overall,176716.7743,60835.00031,6494319.992,0.027037825,0.6,0.6,1
HOUSTON-TX,New Loyal KC,Network TV,Network TV,Network TV,overall,1123.599436,60234.5411,6430219.159,0.027037825,5,0.75,1
HOUSTON-TX,New Loyal NKC,Network TV,Network TV,Network TV,overall,1916.343638,60234.5411,6430219.159,0.027037825,5,0.15,1
HOUSTON-TX,New Non-Loyal KC,Network TV,Network TV,Network TV,overall,5625.519617,60234.5411,6430219.159,0.027037825,5,0.15,1
HOUSTON-TX,New Non-Loyal NKC,Network TV,Network TV,Network TV,overall,17742.56689,60234.5411,6430219.159,0.027037825,0.6,0.05,1
HOUSTON-TX,Existing Non-Loyal NKC,Network TV,Network TV,Network TV,overall,30210.94979,60234.5411,6430219.159,0.027037825,1,0.75,1
HOUSTON-TX,Existing Non-Loyal KC,Network TV,Network TV,Network TV,overall,37347.95659,60234.5411,6430219.159,0.027037825,1,0.75,1
HOUSTON-TX,Existing Loyal NKC,Network TV,Network TV,Network TV,overall,74174.76922,60234.5411,6430219.159,0.027037825,0.6,0.75,1
HOUSTON-TX,Existing Loyal KC,Network TV,Network TV,Network TV,overall,227635.1739,60234.5411,6430219.159,0.027037825,0.6,0.6,1
TRI-STATE-NY/NJ/CT,New Loyal NKC,Display,Display,Display,overall,1838.833323,58450.82577,99540395,0.002870164,9,0.75,1
TRI-STATE-NY/NJ/CT,New Loyal KC,Display,Display,Display,overall,2207.195495,58450.82577,99540395,0.002870164,1,0.75,1
TRI-STATE-NY/NJ/CT,New Non-Loyal NKC,Display,Display,Display,overall,20217.3855,58450.82577,99540395,0.002870164,1,0.45,1
